minimo: 1, maximo: 50, esperado: 23, sorteado: 3, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 19, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 39, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 45, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 2, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 2, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 5, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 8, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 8, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 12, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 12, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 15, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 15, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 18, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 18, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 21, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 21, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 25, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 28, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 31, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 31, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 34, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 34, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 38, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 41, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 44, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 48, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 1, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 1, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 1, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 4, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 4, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 11, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 14, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 20, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 24, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 30, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 33, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 37, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 43, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 47, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 3, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 6, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 10, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 16, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 19, resultado: FALHA
minimo: 1, maximo: 50, esperado: 23, sorteado: 23, resultado: SUCESSO
minimo: 1, maximo: 50, esperado: 23, sorteado: 29, resultado: FALHA
